a1 a2 a3 a4 a5 a6 a7 cv
1 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
0 0 1 1 0 0 0 No
1 0 1 1 0 0 1 No
0 1 0 1 1 1 0 No
0 0 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 1 0 1 No
0 1 0 1 0 0 0 No
1 1 0 1 1 0 1 No
0 1 0 1 1 0 0 No
1 0 0 1 0 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 1 1 1 0 1 No
1 1 1 1 0 0 0 No
1 0 0 1 1 0 1 No
1 1 1 1 1 0 0 No
1 1 1 1 1 0 1 No
1 1 0 1 1 0 0 No
0 1 1 1 1 0 1 No
0 0 0 1 1 1 0 No
0 1 0 0 0 0 1 No
0 0 0 1 1 0 0 No
0 0 1 1 1 0 1 No
1 1 1 1 0 0 0 No
0 0 1 1 0 0 1 No
0 0 1 1 0 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 1 0 1 No
1 0 1 1 1 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
0 0 1 0 0 0 1 No
1 1 0 1 0 0 0 No
1 0 1 1 0 0 1 No
1 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 1 0 1 No
1 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
1 0 1 1 1 0 1 No
1 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
1 0 1 1 0 0 0 No
1 0 0 1 0 0 1 No
0 0 1 1 0 0 0 No
1 0 1 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 0 1 0 1 1 No
0 1 0 1 0 0 0 No
0 1 1 1 1 0 1 No
0 0 1 1 0 0 0 No
0 1 1 1 1 0 1 No
0 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 0 1 1 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 1 0 0 No
1 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 1 1 1 0 0 No
1 0 0 1 0 0 1 No
1 1 0 1 0 0 0 No
0 0 1 1 1 1 1 No
0 1 0 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 0 1 0 0 0 No
1 0 1 1 1 0 1 No
1 1 0 1 0 0 0 No
1 0 0 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 1 1 1 0 1 No
1 0 0 1 0 0 0 No
0 1 0 0 0 0 1 No
1 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 0 0 0 0 0 No
0 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 1 1 1 1 1 No
1 1 1 1 0 0 0 No
0 1 0 1 1 0 1 No
0 0 1 1 1 0 0 No
0 0 0 1 1 0 1 No
1 1 0 1 0 0 0 No
0 0 0 1 0 0 1 No
1 1 0 1 0 0 0 No
1 1 1 1 1 0 1 No
1 0 1 1 0 0 0 No
0 1 1 1 1 0 1 No
1 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 1 1 1 0 0 No
1 1 1 1 1 0 1 No
0 1 0 1 0 1 0 No
1 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 0 1 1 0 1 No
0 0 0 1 0 0 0 No
0 1 1 0 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 0 1 0 0 0 No
0 0 0 1 1 0 1 No
0 1 0 0 0 1 0 No
0 1 1 1 0 0 1 No
1 0 0 1 0 0 0 No
1 0 1 1 1 0 1 No
0 0 1 1 0 0 0 No
0 1 1 1 1 1 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 0 1 1 0 0 No
1 0 1 1 0 0 1 No
0 1 1 1 0 0 0 No
1 0 0 1 0 0 1 No
0 1 1 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 0 1 1 0 0 No
1 1 0 1 0 0 1 No
0 1 0 1 1 0 0 No
1 0 1 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 1 0 1 1 1 No
1 1 0 1 0 0 0 No
1 1 0 1 1 0 1 No
0 1 1 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 1 1 0 0 0 No
0 1 0 0 0 0 1 No
1 0 1 1 0 0 0 No
1 0 1 1 1 0 1 No
0 0 1 1 0 0 0 No
1 1 1 1 0 0 1 No
1 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
1 0 1 1 0 0 0 No
1 0 1 1 1 0 1 No
1 0 0 1 1 0 0 No
0 1 0 0 0 0 1 No
0 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 0 0 1 1 0 0 No
1 0 1 1 0 0 1 No
1 1 1 1 0 0 0 No
1 0 1 1 1 0 1 No
0 0 1 1 0 1 0 No
0 0 0 1 0 0 1 No
1 1 1 1 1 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 0 1 1 0 0 No
1 1 1 1 0 0 1 No
1 0 0 1 1 0 0 No
0 1 1 1 1 1 1 No
0 1 1 1 0 0 0 No
1 1 1 1 1 0 1 No
0 1 0 1 0 0 0 No
1 0 0 1 0 0 1 No
1 0 1 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 1 0 No
0 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
1 1 0 1 1 0 1 No
0 1 1 1 1 0 0 No
1 0 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
1 0 0 1 0 0 1 No
0 1 1 1 0 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 0 1 0 0 0 No
1 0 0 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 0 0 1 0 0 No
0 0 1 1 1 0 1 No
0 1 1 1 0 0 0 No
1 0 1 1 0 0 1 No
1 0 0 1 1 0 0 No
1 1 0 1 0 0 1 No
1 0 0 1 1 1 0 No
0 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
1 0 0 1 0 0 1 No
1 1 0 1 0 0 0 No
1 1 0 1 1 0 1 No
1 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 0 1 0 0 0 No
1 0 1 1 1 0 1 No
0 1 1 1 0 0 0 No
1 0 1 1 0 0 1 No
0 0 0 1 0 0 0 No
1 0 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 0 0 0 0 1 No
0 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 1 1 0 0 1 No
0 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
0 0 1 1 0 1 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 1 0 0 No
0 0 1 0 1 0 1 No
0 1 0 1 1 0 0 No
1 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 0 1 1 0 1 No
1 0 0 1 1 0 0 No
0 1 0 0 1 0 1 No
0 1 1 1 1 0 0 No
0 1 0 1 1 0 1 No
0 1 0 1 0 1 0 No
1 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 1 1 1 0 0 No
1 0 0 1 0 0 1 No
1 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 0 1 1 0 0 1 No
1 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 0 0 1 1 0 0 No
1 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
1 0 1 1 0 0 1 No
1 0 0 1 1 0 0 No
0 0 0 1 1 0 1 No
0 1 1 1 0 0 0 No
1 0 0 1 1 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 0 0 0 0 0 No
0 1 1 1 1 0 1 No
0 1 0 0 1 0 0 No
0 1 1 1 0 0 1 No
1 1 1 1 1 0 0 No
1 0 0 1 0 0 1 No
1 0 0 1 0 1 0 No
0 0 0 1 0 0 1 No
1 0 1 0 1 0 0 No
0 0 0 1 1 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
1 0 0 1 0 0 0 No
1 0 0 1 0 0 1 No
0 0 0 1 1 0 0 No
0 0 1 1 0 0 1 No
0 1 1 1 0 0 0 No
1 0 0 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
1 1 0 1 1 0 0 No
1 1 1 1 1 0 1 No
1 0 1 1 0 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 1 0 0 No
0 1 1 1 1 1 1 No
0 1 0 1 0 0 0 No
0 0 1 1 1 0 1 No
0 1 1 1 1 0 0 No
0 1 1 1 1 0 1 No
1 0 0 1 1 0 0 No
0 1 0 1 0 0 1 No
1 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 1 1 1 0 0 No
1 1 1 1 0 0 1 No
1 0 1 0 0 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 0 0 0 No
1 1 0 1 1 0 1 No
0 1 0 1 1 0 0 No
0 0 0 1 1 1 1 No
0 1 1 1 1 0 0 No
0 1 1 1 0 0 1 No
1 1 0 0 1 0 0 No
0 1 0 1 0 0 1 No
1 0 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 1 0 1 1 0 0 No
0 0 1 1 0 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 1 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 1 0 1 No
1 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
1 1 1 1 0 1 0 No
1 0 0 1 0 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 1 0 No
1 0 1 1 0 0 1 No
0 1 1 1 0 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 0 0 0 0 0 No
0 1 0 1 0 0 1 No
1 1 0 0 0 0 0 No
1 1 1 1 0 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
1 1 1 1 0 1 1 No
1 0 0 1 1 0 0 No
1 1 1 1 1 0 1 No
1 0 0 1 0 0 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 1 1 No
1 0 0 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 1 1 No
0 0 1 1 0 0 0 No
0 1 1 1 0 0 1 No
0 0 0 0 0 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
1 0 1 1 0 0 0 No
1 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 1 1 No
1 0 0 1 0 0 0 No
1 0 1 1 1 0 1 No
1 0 1 1 1 0 0 No
0 1 1 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 0 1 1 0 1 No
1 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 1 0 1 No
0 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
0 0 0 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 0 0 1 1 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
1 0 0 1 0 0 0 No
1 1 0 1 0 1 1 No
0 0 0 1 1 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 1 1 0 0 1 No
0 0 1 1 0 1 0 No
1 1 0 1 1 0 1 No
0 0 1 1 0 0 0 No
0 0 1 1 0 0 1 No
1 0 1 1 0 0 0 No
0 1 1 1 1 0 1 No
0 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
1 0 0 1 0 0 0 No
0 0 1 1 1 0 1 No
1 0 1 1 0 0 0 No
1 0 1 1 0 0 1 No
0 0 1 1 0 1 0 No
0 0 1 1 1 0 1 No
0 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
0 0 1 1 0 1 0 No
1 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
1 0 0 1 0 0 1 No
1 0 1 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 1 0 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 1 1 No
0 1 1 0 0 0 0 No
1 1 0 1 1 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 1 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 1 1 1 0 0 No
1 0 1 1 1 0 1 No
1 0 1 1 0 0 0 No
1 0 1 1 0 0 1 No
0 1 0 1 1 0 0 No
1 0 0 1 1 0 1 No
1 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 1 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 1 1 1 No
1 0 1 1 0 0 0 No
1 1 1 1 0 0 1 No
0 1 1 1 0 0 0 No
1 0 0 1 1 0 1 No
1 0 1 1 1 0 0 No
0 1 0 0 1 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 0 0 1 0 1 1 No
1 0 1 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 0 0 0 1 1 No
0 1 1 0 1 0 0 No
0 0 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 0 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 0 1 0 0 1 No
1 1 0 1 0 0 0 No
0 1 0 1 1 0 1 No
0 0 1 1 0 0 0 No
0 0 0 1 1 0 1 No
0 1 1 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
1 1 0 1 0 0 0 No
0 0 1 1 1 0 1 No
1 1 1 1 0 0 0 No
0 0 1 1 1 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 0 1 1 0 1 No
1 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 1 0 0 0 0 No
1 1 1 1 0 0 1 No
1 0 0 0 0 0 0 No
0 0 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
1 0 1 1 0 0 0 No
1 1 0 1 1 0 1 No
0 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 0 0 0 0 0 1 No
0 1 1 0 0 1 0 No
0 1 0 1 0 0 1 No
0 0 1 1 1 0 0 No
0 0 1 1 1 0 1 No
0 0 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 1 1 0 1 1 No
0 1 1 1 0 0 0 No
1 1 0 1 1 0 1 No
1 1 1 1 0 0 0 No
0 1 0 1 0 0 1 No
1 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 1 1 1 0 1 No
1 0 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 0 1 1 0 0 0 No
1 1 0 1 1 0 1 No
1 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 0 0 1 1 0 0 No
0 1 0 1 1 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
1 1 0 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 1 0 0 No
0 0 1 1 0 0 1 No
1 0 1 0 0 0 0 No
0 1 1 1 0 0 1 No
1 0 0 1 0 0 0 No
0 0 0 1 0 1 1 No
0 1 0 1 0 0 0 No
1 1 0 1 1 0 1 No
0 1 0 1 0 0 0 No
0 0 1 1 0 0 1 No
1 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 0 0 1 1 0 1 No
1 0 0 1 0 0 0 No
0 1 1 1 1 1 1 No
0 0 0 1 0 0 0 No
1 1 1 1 0 0 1 No
0 0 1 0 1 0 0 No
0 0 0 1 1 0 1 No
0 1 0 1 1 1 0 No
0 1 1 1 0 0 1 No
0 0 0 1 1 0 0 No
1 0 0 1 0 0 1 No
1 1 1 1 1 0 0 No
0 0 0 1 0 0 1 No
1 1 1 1 0 1 0 No
1 0 0 0 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 1 0 1 No
1 1 0 1 0 0 0 No
1 0 0 1 1 0 1 No
0 0 1 1 0 0 0 No
0 1 1 1 1 0 1 No
1 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 1 1 1 0 0 No
1 1 1 1 0 0 1 No
0 1 0 1 0 1 0 No
0 1 0 1 0 1 1 No
0 1 0 1 0 0 0 No
0 0 1 0 0 0 1 No
0 1 0 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
1 1 1 1 0 0 1 No
1 0 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
1 1 1 1 0 0 0 No
0 1 1 1 0 0 1 No
1 0 1 1 0 0 0 No
1 0 1 1 0 0 1 No
1 0 1 1 0 0 0 No
0 1 0 1 0 0 1 No
0 1 0 1 1 0 0 No
0 0 0 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 1 1 0 0 1 No
0 1 0 1 0 0 0 No
0 1 0 1 0 0 1 No
0 0 1 0 0 0 0 No
1 0 1 1 1 0 1 No
1 1 0 1 0 0 0 No
1 1 1 0 0 0 1 No
1 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 1 1 0 0 1 No
1 1 1 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 0 1 0 0 1 No
0 1 1 1 0 1 0 No
0 0 0 1 1 0 1 No
1 1 0 1 0 0 0 No
1 1 1 1 0 0 1 No
1 1 1 1 1 0 0 No
0 1 1 1 0 0 1 No
1 1 0 1 0 1 0 No
1 1 0 1 1 1 1 No
1 1 0 1 0 0 0 No
0 0 0 1 1 0 1 No
1 0 0 1 0 0 0 No
1 0 1 1 0 0 1 No
0 0 0 1 1 0 0 No
1 0 0 0 0 0 1 No
0 1 1 1 1 0 0 No
1 0 0 1 1 0 1 No
0 0 0 1 0 0 0 No
0 0 0 1 0 0 1 No
0 1 0 1 1 0 0 No
1 1 1 1 0 0 1 No
0 1 1 1 0 1 0 No
0 0 0 1 0 0 1 No
0 1 1 1 0 0 0 No
0 1 1 1 0 1 1 No
1 0 1 1 0 0 0 No
1 1 0 0 0 0 1 No
1 1 0 1 1 0 0 No
0 1 1 1 0 0 1 No
1 0 1 0 0 0 0 No
1 0 0 1 1 0 1 No
0 1 0 1 0 0 0 No
1 0 1 1 0 0 1 No
1 0 0 1 1 0 0 No
0 1 1 1 1 0 1 No
0 0 1 1 1 0 0 No
0 0 1 1 0 0 1 No
0 0 1 0 0 0 0 No
0 1 1 1 0 0 1 No
0 0 0 1 0 0 0 No
0 0 1 0 1 0 1 No
0 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 0 1 0 0 0 No
0 1 1 1 1 0 1 No
1 1 1 1 0 0 0 No
0 1 0 1 1 0 1 No
0 1 1 1 0 0 0 No
0 0 1 1 1 0 1 No
1 1 1 1 1 0 0 No
1 0 1 1 1 0 1 No
0 1 0 1 1 0 0 No
0 1 0 1 0 0 1 No
0 0 1 1 0 0 0 No
1 1 0 1 0 0 1 No
0 1 1 1 1 0 0 No
0 1 0 0 0 0 1 No
1 1 0 1 1 0 0 No
1 1 1 1 1 0 1 No
0 1 1 1 0 0 0 No
0 0 1 1 0 0 1 No
1 0 0 0 0 0 0 No
1 1 1 1 0 0 1 No
0 0 1 1 1 0 0 No
1 1 1 1 0 0 1 No
0 0 0 1 1 0 0 No
0 0 0 1 0 0 1 No
0 1 0 1 0 0 0 No
1 0 0 1 0 0 1 No
1 0 0 1 1 0 0 No
1 0 0 1 0 0 1 No
1 1 0 1 1 0 0 No
1 0 0 1 1 0 1 No
0 1 1 1 1 0 0 No
0 0 1 1 0 0 1 No
0 1 0 1 0 0 0 No
1 1 0 1 0 0 1 No
1 1 1 1 1 0 0 No
1 1 1 1 0 0 1 No
1 0 0 1 1 0 0 No
0 1 0 1 1 0 1 No
1 1 1 1 0 0 0 No
0 1 0 0 1 0 1 No
0 0 1 1 0 0 0 No
0 1 1 1 0 0 1 No
