v1 v2 v3 c1 c2 c3 retention
3100 0 4400 1 0 1 Yes
2200 0 4400 0 0 1 No
3400 7500 4900 0 0 1 No
2600 0 3000 0 0 1 Yes
1900 5900 3800 0 0 1 No
2500 0 4600 1 0 1 Yes
2100 0 3700 0 0 1 No
2500 0 1700 0 0 1 No
3100 0 4400 1 0 1 Yes
2500 0 1700 0 0 1 No
4800 0 5100 1 0 1 Yes
2600 0 6100 1 0 1 Yes
3400 0 7600 1 0 1 Yes
2100 6100 4400 0 0 1 No
2700 0 2100 0 0 1 Yes
3000 7000 3000 0 0 1 No
3600 0 3700 1 0 1 Yes
4700 0 5700 1 0 1 Yes
2600 0 4100 1 0 1 Yes
2500 0 1700 0 0 1 No
3300 0 3400 0 0 1 Yes
3800 0 4000 1 0 1 Yes
2400 0 6100 0 0 1 No
3400 7500 4900 0 0 1 No
3700 7600 4100 0 0 1 No
3000 7200 5600 0 0 1 No
2300 7100 5700 0 0 1 No
3100 6500 1900 0 0 0 No
3600 6200 3300 0 0 0 No
3400 0 7600 1 0 1 Yes
3200 6100 4800 0 0 1 No
2000 5800 4800 0 0 1 No
2000 5800 4800 0 0 1 No
3200 0 1000 1 0 1 Yes
3600 6200 3300 0 0 0 No
2400 0 4100 0 0 1 No
2900 0 5300 1 0 1 Yes
3100 0 4800 1 0 1 Yes
4300 0 5200 1 0 1 Yes
3200 6100 4800 0 0 1 No
3000 0 5700 1 0 0 Yes
2100 0 3000 0 0 1 No
3900 0 9000 1 0 0 Yes
1800 6000 4700 0 0 1 No
3000 0 3600 1 0 1 Yes
2900 0 6600 1 0 0 Yes
3200 0 1000 1 0 1 Yes
4300 0 5200 1 0 1 Yes
2200 0 3300 1 0 1 No
3200 0 5100 1 0 0 Yes
2500 0 4800 0 0 0 No
2400 0 5200 0 0 0 No
3000 6200 3600 0 0 0 No
2500 0 1700 0 0 1 No
4800 0 6500 1 0 1 Yes
4700 0 5700 1 0 1 Yes
2400 0 6100 0 0 1 No
3100 0 5300 1 0 0 Yes
3600 0 3700 1 0 1 Yes
2100 5700 5800 0 0 1 No
2400 0 6100 0 0 1 No
2900 0 5800 0 0 1 Yes
2100 0 3700 0 0 1 No
3900 6300 4400 0 0 0 No
2600 0 4100 1 0 1 Yes
3200 0 5100 1 0 0 Yes
3400 0 3800 1 0 0 Yes
3200 0 1000 1 0 1 Yes
2400 0 4100 0 0 1 No
2500 0 4800 0 0 0 No
3900 6300 4400 0 0 0 No
4300 0 5200 1 0 1 Yes
2400 0 2800 0 0 1 No
1800 6000 4700 0 0 1 No
2900 0 6600 1 0 0 Yes
3600 0 3800 1 0 1 Yes
3300 0 3200 1 0 0 Yes
3900 6300 4400 0 0 0 No
3200 6100 4800 0 0 1 No
2300 0 1700 0 0 0 No
5100 0 4200 1 0 1 Yes
2400 0 5200 0 0 0 No
2100 5700 5500 1 0 1 No
2900 0 5800 0 0 1 Yes
2700 0 2100 0 0 1 Yes
1900 5900 3800 0 0 1 No
3100 0 5200 0 0 1 Yes
2600 0 3000 0 0 1 Yes
3100 7500 4400 0 0 0 No
2600 0 4100 1 0 1 Yes
3800 0 4000 1 0 1 Yes
1900 5800 2700 0 0 1 No
4800 0 6500 1 0 1 Yes
3100 0 4400 1 0 1 Yes
2100 0 5400 1 0 0 No
3100 0 4400 1 0 1 Yes
1900 5900 3800 0 0 1 No
3000 8100 2000 0 0 1 No
3200 6600 3900 0 0 1 No
2100 5700 5800 0 0 1 No
2000 5800 4800 0 0 1 No
3000 0 3600 1 0 1 Yes
3200 6400 4900 0 0 0 No
3000 7000 3000 0 0 1 No
2100 5700 5500 1 0 1 No
3100 0 4800 0 0 1 Yes
2400 7900 3400 0 0 1 No
2100 0 3700 0 0 1 No
2800 6600 4100 0 0 1 No
2900 0 2700 0 0 0 Yes
3100 0 4400 1 0 1 Yes
2200 0 5900 1 0 1 No
3300 0 3600 0 0 1 Yes
2700 0 2100 0 0 1 Yes
3700 0 5500 1 0 1 Yes
2000 5800 4800 0 0 1 No
2700 0 5400 1 0 1 Yes
1900 6000 2200 0 0 1 No
3100 6500 1900 0 0 0 No
3900 6300 4400 0 0 0 No
4700 0 5700 1 0 1 Yes
3200 6100 4800 0 0 1 No
3000 0 3600 1 0 1 Yes
3600 7000 3500 0 0 1 No
2500 6100 4200 0 0 0 No
2100 6100 4400 0 0 1 No
2200 0 4400 0 0 1 No
2400 0 6100 0 0 1 No
4300 0 5200 1 0 1 Yes
2200 0 4000 0 0 1 No
2400 0 5200 0 0 0 No
3400 7500 4900 0 0 1 No
3200 6100 4800 0 0 1 No
3800 0 4000 1 0 1 Yes
3800 0 4000 1 0 1 Yes
3600 0 3800 1 0 1 Yes
4500 0 3500 1 0 1 Yes
4300 0 5200 1 0 1 Yes
2000 5800 4800 0 0 1 No
3000 7200 5600 0 0 1 No
3600 0 3800 1 0 1 Yes
3000 0 5700 1 0 0 Yes
3300 6300 6000 0 0 1 No
3800 6600 4700 0 0 0 No
3100 0 4400 1 0 1 Yes
2200 0 3300 1 0 1 No
2400 0 2800 0 0 1 No
2100 5700 5800 0 0 1 No
3000 0 5700 1 0 0 Yes
2200 0 5600 0 0 1 No
2900 0 5300 1 0 1 Yes
2400 7900 3400 0 0 1 No
3100 0 5200 0 0 1 Yes
2300 0 5500 0 0 1 No
2000 5800 4800 0 0 1 No
3200 0 1000 1 0 1 Yes
2100 0 5400 1 0 0 No
3400 0 7600 1 0 1 Yes
2600 0 6100 1 0 1 Yes
3000 7400 4000 0 0 1 No
2900 6100 4400 0 0 1 No
2100 0 3700 0 0 1 No
2700 0 5400 1 0 1 Yes
2100 0 3700 0 0 1 No
2400 0 7300 0 0 1 No
3700 7600 4100 0 0 1 No
4500 0 3500 1 0 1 Yes
2300 0 3500 1 0 1 No
4700 0 5700 1 0 1 Yes
3800 0 4000 1 0 1 Yes
2300 0 5600 0 0 0 No
5100 0 4200 1 0 1 Yes
2200 0 5900 1 0 1 No
3300 6300 5800 0 0 1 No
5100 0 4200 1 0 1 Yes
3000 7200 5600 0 0 1 No
2700 0 2100 0 0 1 Yes
4300 0 5200 1 0 1 Yes
3200 0 1000 1 0 1 Yes
2500 0 6100 0 0 1 Yes
3800 0 4000 1 0 1 Yes
3200 6100 4800 0 0 1 No
2400 7900 3400 0 0 1 No
2400 0 7300 0 0 1 No
2100 5700 5500 1 0 1 No
4800 0 5100 1 0 1 Yes
3000 7200 5600 0 0 1 No
3000 6200 3600 0 0 0 No
2600 0 3000 0 0 1 Yes
3000 7200 5600 0 0 1 No
1800 6100 5700 0 0 1 No
3000 7000 3000 0 0 1 No
3000 6200 3600 0 0 0 No
2100 5700 5800 0 0 1 No
2100 5700 5800 0 0 1 No
2400 0 5200 0 0 0 No
2100 5700 5800 0 0 1 No
3000 7200 5600 0 0 1 No
3800 6600 4700 0 0 0 No
2000 5800 4800 0 0 1 No
2900 0 5300 1 0 1 Yes
2900 0 5800 0 0 1 Yes
2100 5700 5500 1 0 1 No
2200 0 5900 1 0 1 No
2900 0 5300 1 0 1 Yes
3900 0 9000 1 0 0 Yes
2200 0 5900 1 0 1 No
2100 6100 4400 0 0 1 No
4800 0 6500 1 0 1 Yes
2200 0 5600 0 0 1 No
3000 0 3600 1 0 1 Yes
3000 7000 3000 0 0 1 No
2800 0 3400 0 0 1 Yes
1900 5900 6800 0 0 1 No
2600 0 4100 1 0 1 Yes
2900 0 5300 1 0 1 Yes
3300 0 3200 1 0 0 Yes
3100 0 5200 0 0 1 Yes
3700 0 7900 1 0 1 Yes
1800 6100 5700 0 0 1 No
1900 5800 2700 0 0 1 No
2300 7100 5700 0 0 1 No
3200 6100 4800 0 0 1 No
3000 8100 2000 0 0 1 No
1900 5900 6800 0 0 1 No
3900 0 9000 1 0 0 Yes
2100 5700 5800 0 0 1 No
2500 0 1700 0 0 1 No
2400 0 6100 0 0 1 No
2400 0 5200 0 0 0 No
3000 0 5700 1 0 0 Yes
2400 0 2800 0 0 1 No
2400 0 7300 0 0 1 No
2500 0 4600 1 0 1 Yes
2900 0 5300 1 0 1 Yes
